"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 13 21:17:32 IST 2024","Tue Feb 13 21:17:32 IST 2024","4","","Log In and Carousel","","","","""before all"" hook for Log In and Carousel",""
"passed","Tue Feb 13 21:17:32 IST 2024","Tue Feb 13 21:18:04 IST 2024","32036","","Log In and Carousel","","","","Verify the Book Appointment Review Screen",""
